"2011-07-25","Jog","4900","00:33:00"
"2011-07-25","Jog","3400","00:23:00"
"2011-07-27","Jog","8800","00:58:00"
"2011-07-28","Jog","3700","00:22:00"
"2011-07-30","Jog","4500","00:29:00"
"2011-07-31","Jog","4300","00:26:00"
"2011-08-02","Jog","4800","00:28:00"
"2011-08-03","Jog","9800","01:14:00"
"2011-08-04","Jog","2600","00:16:30"
"2011-08-06","Jog","6100","00:33:47"
"2011-08-07","Jog","4900","00:29:40"
"2011-08-10","Jog","3000","00:19:00"
"2011-08-11","Jog","2000","00:11:00"
"2011-08-12","Jog","4700","00:27:00"
"2011-08-13","Jog","5000","00:31:00"
"2011-08-14","Jog","4700","00:27:00"
"2011-08-15","Jog","4700","00:27:00"
"2011-08-19","Jog","3200","00:18:00"
"2011-08-21","Jog","1100","00:06:00"
"2011-08-23","Jog","4500","00:33:00"
"2011-08-25","Jog","5100","00:30:00"
"2011-08-28","Jog","2500","00:13:00"
"2011-08-31","Jog","5600","00:31:00"
"2011-09-01","Jog","6000","00:33:30"
"2011-09-04","Jog","2600","00:13:30"
"2011-09-06","Jog","10000","01:01:00"
"2011-09-08","Jog","2600","00:14:00"
"2011-09-11","Jog","2000","00:13:00"
"2011-09-12","Jog","2000","00:13:00"
"2011-09-14","Jog","1500","00:10:00"
"2011-09-20","Jog","4000","00:22:00"
"2011-09-21","Jog","2000","00:15:00"
"2011-09-23","Jog","1500","00:15:00"
"2011-09-25","Jog","5000","00:27:00"
"2011-10-02","Jog","10000","00:55:56"
"2011-10-06","Jog","3900","00:28:40"
"2011-10-14","Jog","4000","00:25:00"
"2011-10-25","Jog","5000","00:30:00"
